,Household_ID,N_catg1,N_catg2,N_catg3,N_catg4,N_catg5,N_catg6,N_catg7,N_catg8,N_catg9,N_catg10,N_catg11,N_catg12,N_catg13,N_catg14,N_catg15,E_catg1,E_catg2,E_catg3,E_catg4,E_catg5,E_catg6,E_catg7,E_catg8,E_catg9,E_catg10,E_catg11,E_catg12,E_catg13,E_catg14,E_catg15,Household_Income,Age_Household_Head,Number_Of_Kids,Total_Number_Of_Transactions,Number_Of_Online_Purchase,Number_Of_Stores_Visited,Number_Of_Returns,Number_Of_Different_Categories
76,100172007,3,0,0,0,0,0,0,8,6,1,1,1,2,0,0,79.97,0,0,0,0,0,0,573.9,344.86,0,14.99,449.99,379.97,0,0,6,32,1,4,0,4,0,7
77,100172272,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,519.97,0,0,0,119.99,0,0,209.98,0,1,58,0,1,0,1,0,3
78,100173460,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,59.99,0,0,0,0,0,0,0,0,0,24.99,0,0,0,0,6,28,0,1,0,1,2,2
79,100178822,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,184.98,0,0,0,0,0,209.98,0,0,0,24.96,0,0,0,0,5,64,0,1,0,1,0,3
80,100180595,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,179.99,0,54.98,89.99,389.96,9,48,1,1,0,1,0,4
81,100184882,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,29.99,1654.96,79.99,0,0,7,32,1,1,0,1,6,3
82,100185498,0,0,0,0,0,0,0,0,1,0,3,0,2,3,0,0,0,0,0,0,0,0,0,69.99,0,132.67,0,19.99,159.98,0,9,56,0,1,0,1,6,4
83,100187793,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.97,0,1,36,0,1,0,1,0,1
84,100200098,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,67.97,354.97,0,0,0,2,24,0,1,0,1,2,2
85,100202829,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359.98,0,6,36,0,1,0,1,0,1
86,100203956,0,0,0,0,4,0,0,0,2,1,19,12,1,1,5,0,0,0,0,869.96,0,0,0,59.96,18.75,1138.74,1999.97,99.99,161.98,534.89,NA,28,0,5,3,5,13,8
87,100204326,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.98,0,0,0,1,46,3,1,4,0,0,2
88,100209594,1,0,0,0,2,0,0,4,0,0,0,0,0,0,0,379.99,0,0,0,49.99,0,0,161.97,0,0,0,0,0,0,0,8,46,1,1,0,1,2,3
89,100209689,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,249.99,0,0,0,0,0,0,0,49.98,0,0,0,0,0,0,1,84,0,2,0,2,0,2
90,100216232,0,0,0,0,2,0,1,0,4,1,0,0,2,0,1,0,0,0,0,349.94,0,100,0,249.95,39.99,0,0,1526.97,0,399.98,9,54,1,3,0,3,0,6
91,100216274,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,122.97,0,0,0,0,0,0,0,6,NA,0,1,0,1,0,2
92,100216468,0,0,0,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,355.57,0,0,0,32.99,0,0,0,0,1,30,2,1,0,1,6,3
93,100218695,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.99,0,0,0,0,0,0,0,0,0,0,NA,48,1,1,0,1,2,1
94,100225934,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,0,1,0,1,0,1
95,100228037,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.98,79.99,0,0,0,NA,NA,0,1,0,1,0,2
96,100228342,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99,0,0,0,0,0,0,6,36,0,1,0,1,0,1
97,100228885,0,2,0,0,3,0,0,0,0,1,0,5,0,1,0,0,894.98,0,0,379.98,0,0,0,0,99,0,3687.61,0,16.99,0,6,60,2,3,0,3,8,5
98,100233587,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.99,0,0,0,0,NA,NA,0,1,0,1,0,1
99,100234599,0,0,0,0,3,0,0,0,0,1,5,0,1,2,0,0,0,0,0,198.97,0,0,0,0,0,230.91,0,199.99,64.99,0,NA,NA,0,2,0,2,4,5
100,100237350,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,NA,0,1,0,1,0,1
101,100239038,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,958.78,93.97,0,0,0,0,7,42,0,2,0,2,6,3
102,100241168,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,57.98,774.97,199.98,0,0,9,52,2,1,0,1,0,3
103,100243447,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,508.45,0,0,0,0,0,0,0,49,0,0,0,0,0,6,46,1,1,0,1,2,3
104,100247998,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,54.99,45.98,0,634.98,0,0,9,80,0,1,0,1,0,3
